index,x,y,z
8,262,15.44,988
0,649.513,0,896.6339
0,913.5961,0,305.5414
0,303.8395,0,903.2083
0,759.4197,0,476.0237
0,664.7144,0,374.4453
0,764.6968,0,789.8883
0,897.3847,0,345.8226
0,930.9055,0,985.4232
0,309.7318,0,736.6301
0,614.4015,0,713.0549
0,678.0426,0,950.8325
0,426.4934,0,885.8021
0,866.4813,0,607.9815
0,624.1674,0,566.7143
0,374.5032,0,761.359
0,308.8171,0,532.8984
0,444.8746,0,225.016
0,711.6436,0,292.3124
0,613.8259,0,413.3187
0,897.3947,0,204.7413
0,1023.897,0,859.5662
0,731.3267,0,644.454
0,993.4827,0,474.1413
0,369.1014,0,278.5035
0,914.7444,0,30.62931
0,942.5432,0,706.296
0,566.9,0,846.5049
0,959.8938,0,250.6034
0,668.5267,0,94.48661
0,980.5994,0,149.1085
0,497.9143,0,525.6852
0,909.3237,0,249.0988
0,736.3591,0,102.4086
0,914.4315,0,455.5475
0,904.5297,0,809.9643
0,290.9936,0,430.1462
0,928.7399,0,63.48382
0,532.3276,0,331.5244
0,801.4171,0,423.7592
0,309.9768,0,377.8581
0,833.8994,0,547.0275
0,587.208,0,806.731
0,456.1741,0,307.2329
0,462.886,0,742.6809
0,684.8999,0,833.1195
0,809.6904,0,795.3671
0,794.3876,0,971.3715
0,711.3011,0,260.8996
0,407.1441,0,289.4455
0,997.3263,0,744.5503
0,953.3257,0,555.7425
0,807.136,0,650.5206
0,682.0758,0,820.8235
0,391.4603,0,885.7408
0,704.7736,0,158.6424
0,633.0544,0,437.3051
0,639.8997,0,874.4586
0,708.8947,0,315.6345
0,762.6099,0,294.9848
0,674.8914,0,146.7267
0,775.2992,0,294.6045
0,902.775,0,676.3026
0,935.307,0,660.1197
0,724.9016,0,710.1276
0,786.2485,0,828.2048
0,705.6593,0,590.4543
0,763.7625,0,604.77
0,721.6399,0,813.7564
0,859.9471,0,416.4331
0,851.3571,0,789.3913
0,955.8189,0,953.8038
0,692.2944,0,56.29378
0,970.5143,0,487.6015
0,671.8616,0,741.232
0,388.1616,0,167.0865
0,515.4479,0,195.7709
0,810.5056,0,695.0828
0,371.3721,0,813.8025
0,791.1695,0,123.7919
0,579.8503,0,440.8199
0,391.5521,0,219.6196
0,596.2916,0,248.7936
0,847.2174,0,428.7626
0,946.5057,0,616.057
0,786.5115,0,859.756
0,729.2116,0,253.5327
0,489.5253,0,15.22715
0,735.9392,0,288.996
0,1017.28,0,805.1901
0,574.0292,0,443.9211
0,932.2223,0,457.9612
0,906.6326,0,488.3938
0,357.7097,0,13.44468
0,541.6954,0,614.8212
0,453.1111,0,347.7642
0,663.9627,0,594.0917
0,804.5614,0,926.1322
0,408.5099,0,838.9288
0,962.7561,0,405.1048
0,860.8834,0,934.3539
0,489.4522,0,120.9872
0,705.2804,0,697.4473
0,608.1959,0,387.4876
0,886.5381,0,506.5176
0,283.5572,0,573.679
0,950.493,0,434.2305
0,848.9922,0,389.9406
0,830.1625,0,558.6133
0,291.9692,0,812.8271
0,983.7488,0,378.0519
0,789.6197,0,414.9444
0,442.2209,0,983.2051
0,671.2089,0,154.9659
0,584.407,0,671.2224
0,782.9653,0,17.45576
0,510.6948,0,125.9301
0,585.705,0,429.385
0,627.1611,0,399.849
0,695.2442,0,359.2676
0,561.524,0,145.4697
0,285.1045,0,977.3903
0,588.2661,0,783.235
0,330.45,0,916.9828
0,322.3523,0,64.73239
0,734.2514,0,21.09018
0,380.5881,0,484.7591
0,896.2677,0,444.9069
0,975.3705,0,987.5249
0,355.2067,0,930.9792
0,329.7867,0,586.7402
0,993.9691,0,904.3256
0,707.6553,0,420.8064
0,315.9972,0,407.4544
0,651.2943,0,535.4601
0,743.5739,0,534.7003
0,629.0854,0,341.9218
0,776.1426,0,872.4741
0,397.5175,0,861.9232
0,613.3496,0,169.9787
0,516.0421,0,682.7326
0,650.5443,0,72.7549
0,843.9332,0,709.2279
0,331.9225,0,774.5385
0,868.1208,0,784.1937
0,848.4294,0,499.8737
0,730.2368,0,574.965
0,830.5748,0,933.1647
0,848.0801,0,358.4174
